Rt,Ft,Rd,Fd
0.091,0.086,0.064,0.065
0.131,0.112,0.072,0.072
0.202,0.176,0.097,0.096
0.327,0.292,0.143,0.139
0.564,0.51,0.238,0.228
0.086,0.065,0.05,0.054
0.099,0.078,0.061,0.05
0.122,0.101,0.071,0.067
0.192,0.158,0.092,0.086
0.311,0.267,0.135,0.125
