Rt,Ft,Rd,Fd
0.246,0.374,0.141,0.241
0.236,0.21,0.093,0.113
0.306,0.442,0.163,0.27
0.297,0.282,0.115,0.174
0.423,0.575,0.207,0.328
0.413,0.418,0.158,0.23
0.215,0.181,0.121,0.088
0.315,0.183,0.176,0.146
0.287,0.235,0.146,0.106
0.383,0.237,0.202,0.132
0.421,0.337,0.199,0.142
0.516,0.339,0.255,0.168
